block_slot,block_hash,block_timestamp,commission,lamports,post_balance,pubkey,reward_type
292312058,5dpJgfXGxJMrYgTTMryj8ARb33ivFBx7erd6CFeqU6K9,2024-09-27 13:26:49.000000 UTC,,28119128,66924636286,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312063,HRswzrxEZArwp1qoe8xvrpaMrjN68FHkozFYR89EMn54,2024-09-27 13:26:52.000000 UTC,,4397121,6023204205,FniyXWNu3EXWX9fXubLpFcDJ4h4T8VDCJEXCwVY2wFRh,Fee
292312068,D4bKRi47jTmLZzx1GeSt1kkyhYEUjWdNQ8JAwNFpEsEX,2024-09-27 13:26:55.000000 UTC,,37179949,1682098243908,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Fee
292312073,HG5bRbSDpB64EfPEGJbXrBMUhDxkHUueXh2bAcyuHWLV,2024-09-27 13:26:57.000000 UTC,,16852257,155475398093,Ah95vWS61zmcbreP7KWcJizUCpQqnGxN4feEaeADfX2d,Fee
292312078,3g6bczU9MoeXzyWrx9VinR2SrXrg1sm3mEjG8noQGgvn,2024-09-27 13:26:59.000000 UTC,,9513692,6909806991,9hNj1a8xDtWsBzDWv8kk3yosBhT7UcohLEuV72ZJ4QZs,Fee
292312081,HKYpxu1xHFJCXEt3DAmFnkShFDV6kRbrRbgsecEWjzG6,2024-09-27 13:27:01.000000 UTC,,47522646,177065737,5Mu8kLG6kNPN8Eooc4A7a9PHeuqutTM5hQZtfB72Gsmb,Fee
292312088,49jDdyF4tyGJXpWnJXCp64fJ7GQy7Pwb7essr95JRYyr,2024-09-27 13:27:05.000000 UTC,,16046928,185041508409,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,Fee
292312093,2s4gZ8suB4V6ivusRhcw8T8nR9MFddQmenCN14QHYpSY,2024-09-27 13:27:06.000000 UTC,,16002032,7940685067,FPPo2aGYYwDWK1Rmr4sXjiCaZzzMwGKi67ijAiVZKwb8,Fee
292312098,G1so38Sqie1GsBBX4k37HTdB8yv99b9BkprmuCVaL1qx,2024-09-27 13:27:09.000000 UTC,,27053336,54042754896,DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,Fee
292312103,CVzufAf3fGZATRyRZT4dUHpa8coKdDv7NFQR2AvyMUEg,2024-09-27 13:27:12.000000 UTC,,36854071,54162748508,DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,Fee
292312061,FYqN6XzFcDq2mPqWU2zoZdhcJEgvxFBCpSwhUxbMPeTH,2024-09-27 13:26:51.000000 UTC,,23947240,6011615168,FniyXWNu3EXWX9fXubLpFcDJ4h4T8VDCJEXCwVY2wFRh,Fee
292312066,86JHJJuSytM2wkp4b4CDp59aP1uuNbVsWggpvKMcH8j9,2024-09-27 13:26:54.000000 UTC,,14632396,9715446626,3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV,Fee
292312071,Ev9Yx7JX2TLByb4aLRHgme9gFQFMZZytwcepbbBk29JW,2024-09-27 13:26:56.000000 UTC,,24714851,1682192753967,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Fee
292312076,G78LEihmZa2AWGMF3KMrKNJKb7apJ2nfCgpoVUunKKr1,2024-09-27 13:26:59.000000 UTC,,7337453,6886214151,9hNj1a8xDtWsBzDWv8kk3yosBhT7UcohLEuV72ZJ4QZs,Fee
292312083,3ak4hQc8EqY9FndLzHEa1xjNQH7jn6SCwLdo7Foz9FfU,2024-09-27 13:27:02.000000 UTC,,5745467,188487300,5Mu8kLG6kNPN8Eooc4A7a9PHeuqutTM5hQZtfB72Gsmb,Fee
292312086,FB1GCBjtritvSdGsAJ7wkn1TRuyLP26yKF9GmFoWKtFp,2024-09-27 13:27:03.000000 UTC,,13906491,185004637208,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,Fee
